,ageRestriction,displayName,end,id,location,performance,popularity,series,start,status,type,uri,venue
0,,"Ciaran Lavery at Empire Music Hall (April 13, 2018)",,32504799,"{'city': 'Belfast, UK', 'lat': 54.5882682, 'lng': -5.9329484}","[{'displayName': 'Ciaran Lavery', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Ciaran Lavery', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:ef5aab86-887d-4fc2-a883-431ef017175a.json', 'mbid': 'ef5aab86-887d-4fc2-a883-431ef017175a'}], 'uri': 'http://www.songkick.com/artists/4924763-ciaran-lavery?utm_source=48067&utm_medium=partner', 'id': 4924763}, 'id': 62578814}]",0.005217,,"{'datetime': '2018-04-13T20:00:00+0100', 'time': '20:00:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32504799-ciaran-lavery-at-empire-music-hall?utm_source=48067&utm_medium=partner,"{'displayName': 'Empire Music Hall', 'lat': 54.5882682, 'lng': -5.9329484, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=48067&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/7785-empire-music-hall?utm_source=48067&utm_medium=partner', 'id': 7785}"
1,,"Liberty Ellman Trio, Stephan Crump, Liberty Ellman, and Damion Reid at Crescent Arts Centre (April 13, 2018)",,33192179,"{'city': 'Belfast, UK', 'lat': 54.5862571, 'lng': -5.9359451}","[{'displayName': 'Liberty Ellman Trio', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Liberty Ellman Trio', 'identifier': [], 'uri': 'http://www.songkick.com/artists/2925146-liberty-ellman-trio?utm_source=48067&utm_medium=partner', 'id': 2925146}, 'id': 63844764}, {'displayName': 'Stephan Crump', 'billingIndex': 2, 'billing': 'headline', 'artist': {'displayName': 'Stephan Crump', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:5cbef1be-ed92-4395-ac63-c6b000096de6.json', 'mbid': '5cbef1be-ed92-4395-ac63-c6b000096de6'}], 'uri': 'http://www.songkick.com/artists/268538-stephan-crump?utm_source=48067&utm_medium=partner', 'id': 268538}, 'id': 63844769}, {'displayName': 'Liberty Ellman', 'billingIndex': 3, 'billing': 'headline', 'artist': {'displayName': 'Liberty Ellman', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:14fead9e-f72d-4633-80d1-f3755b8c8df5.json', 'mbid': '14fead9e-f72d-4633-80d1-f3755b8c8df5'}], 'uri': 'http://www.songkick.com/artists/244494-liberty-ellman?utm_source=48067&utm_medium=partner', 'id': 244494}, 'id': 63844774}, {'displayName': 'Damion Reid', 'billingIndex': 4, 'billing': 'headline', 'artist': {'displayName': 'Damion Reid', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:ac4b0142-e856-498b-a3d1-1997c4988b39.json', 'mbid': 'ac4b0142-e856-498b-a3d1-1997c4988b39'}], 'uri': 'http://www.songkick.com/artists/3681791-damion-reid?utm_source=48067&utm_medium=partner', 'id': 3681791}, 'id': 63844779}]",5.7e-05,,"{'datetime': None, 'time': None, 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33192179-liberty-ellman-trio-at-crescent-arts-centre?utm_source=48067&utm_medium=partner,"{'displayName': 'Crescent Arts Centre', 'lat': 54.5862571, 'lng': -5.9359451, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=48067&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/497086-crescent-arts-centre?utm_source=48067&utm_medium=partner', 'id': 497086}"
2,18+,"Lauren Lo Sung at Thompsons Garage (April 13, 2018)",,33374034,"{'city': 'Belfast, UK', 'lat': 54.5966443, 'lng': -5.9279773}","[{'displayName': 'Lauren Lo Sung', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Lauren Lo Sung', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:45c56976-5ade-44b1-a601-0ea7fb7731ed.json', 'mbid': '45c56976-5ade-44b1-a601-0ea7fb7731ed'}], 'uri': 'http://www.songkick.com/artists/8737604-lauren-lo-sung?utm_source=48067&utm_medium=partner', 'id': 8737604}, 'id': 64173934}]",6.5e-05,,"{'datetime': None, 'time': None, 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33374034-lauren-lo-sung-at-thompsons-garage?utm_source=48067&utm_medium=partner,"{'displayName': 'Thompsons Garage', 'lat': 54.5966443, 'lng': -5.9279773, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=48067&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/2158709-thompsons-garage?utm_source=48067&utm_medium=partner', 'id': 2158709}"
0,,"The Smyths at Limelight 2 (April 14, 2018)",,30963759,"{'lat': 54.5935125, 'lng': -5.9287705, 'city': 'Belfast, UK'}","[{'billing': 'headline', 'displayName': 'The Smyths', 'billingIndex': 1, 'artist': {'displayName': 'The Smyths', 'identifier': [], 'uri': 'http://www.songkick.com/artists/565898-smyths?utm_source=47927&utm_medium=partner', 'id': 565898}, 'id': 59904514}]",0.000341,,"{'datetime': '2018-04-14T19:00:00+0100', 'time': '19:00:00', 'date': '2018-04-14'}",ok,Concert,http://www.songkick.com/concerts/30963759-smyths-at-limelight-2?utm_source=47927&utm_medium=partner,"{'displayName': 'Limelight 2', 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=47927&utm_medium=partner', 'id': 24523}, 'lat': 54.5935125, 'lng': -5.9287705, 'uri': 'http://www.songkick.com/venues/2014884-limelight-2?utm_source=47927&utm_medium=partner', 'id': 2014884}"
1,,"Tokio Myers at SSE Arena (April 14, 2018)",,32008069,"{'city': 'Belfast, UK', 'lat': 54.6038086, 'lng': -5.9156209}","[{'displayName': 'Tokio Myers', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Tokio Myers', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:1b737843-09a7-4042-9656-7a6022f584e6.json', 'mbid': '1b737843-09a7-4042-9656-7a6022f584e6'}], 'uri': 'http://www.songkick.com/artists/9302754-tokio-myers?utm_source=47927&utm_medium=partner', 'id': 9302754}, 'id': 61715429}]",3.9e-05,,"{'datetime': '2018-04-14T20:00:00+0100', 'time': '20:00:00', 'date': '2018-04-14'}",ok,Concert,http://www.songkick.com/concerts/32008069-tokio-myers-at-sse-arena?utm_source=47927&utm_medium=partner,"{'displayName': 'SSE Arena', 'lat': 54.6038086, 'lng': -5.9156209, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=47927&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/17649-sse-arena?utm_source=47927&utm_medium=partner', 'id': 17649}"
2,,"Aslan at Mandela Hall (April 14, 2018)",,32658329,"{'city': 'Belfast, UK', 'lat': 54.5860497, 'lng': -5.9292773}","[{'displayName': 'Aslan', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Aslan', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:d2d4531c-3a24-4647-b6ee-d02004ff141a.json', 'mbid': 'd2d4531c-3a24-4647-b6ee-d02004ff141a'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:efda0b63-7395-4d63-a717-685dc202d4b6.json', 'mbid': 'efda0b63-7395-4d63-a717-685dc202d4b6'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:793b3786-51a9-4b41-b62d-c06d6183a62e.json', 'mbid': '793b3786-51a9-4b41-b62d-c06d6183a62e'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:fbcff7a3-b1ff-4705-905f-82f8938b1ad5.json', 'mbid': 'fbcff7a3-b1ff-4705-905f-82f8938b1ad5'}], 'uri': 'http://www.songkick.com/artists/198124-aslan?utm_source=47927&utm_medium=partner', 'id': 198124}, 'id': 62861409}]",0.001991,,"{'datetime': '2018-04-14T19:30:00+0100', 'time': '19:30:00', 'date': '2018-04-14'}",ok,Concert,http://www.songkick.com/concerts/32658329-aslan-at-mandela-hall?utm_source=47927&utm_medium=partner,"{'displayName': 'Mandela Hall', 'lat': 54.5860497, 'lng': -5.9292773, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=47927&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/9315-mandela-hall?utm_source=47927&utm_medium=partner', 'id': 9315}"
3,,"Daoiri Farrell at Crescent Arts Centre (April 14, 2018)",,33039344,"{'city': 'Belfast, UK', 'lat': 54.5862571, 'lng': -5.9359451}","[{'displayName': 'Daoiri Farrell', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Daoiri Farrell', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8766054-daoiri-farrell?utm_source=47927&utm_medium=partner', 'id': 8766054}, 'id': 63553169}]",5.1e-05,,"{'datetime': '2018-04-14T20:00:00+0100', 'time': '20:00:00', 'date': '2018-04-14'}",ok,Concert,http://www.songkick.com/concerts/33039344-daoiri-farrell-at-crescent-arts-centre?utm_source=47927&utm_medium=partner,"{'displayName': 'Crescent Arts Centre', 'lat': 54.5862571, 'lng': -5.9359451, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=47927&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/497086-crescent-arts-centre?utm_source=47927&utm_medium=partner', 'id': 497086}"
0,Under 18's may attend with adult supervision ,"Matt McGinn at Black Box (April 15, 2018)",,33496284,"{'city': 'Belfast, UK', 'lat': 54.6011669, 'lng': -5.9265085}","[{'displayName': 'Matt McGinn', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Matt McGinn', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:472dee00-cc3d-4cf4-bfb0-0cf37dddc152.json', 'mbid': '472dee00-cc3d-4cf4-bfb0-0cf37dddc152'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:664f1044-08dd-46d9-a965-c1b615efb44d.json', 'mbid': '664f1044-08dd-46d9-a965-c1b615efb44d'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:03aca768-0129-4f27-b4da-e4a9992a62af.json', 'mbid': '03aca768-0129-4f27-b4da-e4a9992a62af'}], 'uri': 'http://www.songkick.com/artists/145709-matt-mcginn?utm_source=48067&utm_medium=partner', 'id': 145709}, 'id': 64393589}]",0.000155,,"{'datetime': '2018-04-15T13:30:00+0100', 'time': '13:30:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/33496284-matt-mcginn-at-black-box?utm_source=48067&utm_medium=partner,"{'displayName': 'Black Box', 'lat': 54.6011669, 'lng': -5.9265085, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=48067&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/3406-black-box?utm_source=48067&utm_medium=partner', 'id': 3406}"
0,,"Simon James at St Louise's Comprehensive School (April 16, 2018)",,33531054,"{'city': 'Belfast, UK', 'lat': 54.599, 'lng': -5.928}","[{'displayName': 'Simon James', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Simon James', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:ea6d2f75-aec3-44a5-a856-55cb14849a93.json', 'mbid': 'ea6d2f75-aec3-44a5-a856-55cb14849a93'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:eaeae429-906f-4861-b18d-2ba34c5c48c8.json', 'mbid': 'eaeae429-906f-4861-b18d-2ba34c5c48c8'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:af09efa3-7184-493f-8bde-2ba4d5962d30.json', 'mbid': 'af09efa3-7184-493f-8bde-2ba4d5962d30'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:96f6d918-3ad5-46ca-a064-fe7dc4801985.json', 'mbid': '96f6d918-3ad5-46ca-a064-fe7dc4801985'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:4fa18dc0-6f8c-46db-aa52-7bc80f4dc108.json', 'mbid': '4fa18dc0-6f8c-46db-aa52-7bc80f4dc108'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:6f9222e0-b290-4beb-aa22-45fedf2c3d04.json', 'mbid': '6f9222e0-b290-4beb-aa22-45fedf2c3d04'}], 'uri': 'http://www.songkick.com/artists/2626511-simon-james?utm_source=48067&utm_medium=partner', 'id': 2626511}, 'id': 64453834}]",0.000257,,"{'datetime': '2018-04-16T09:30:00+0100', 'time': '09:30:00', 'date': '2018-04-16'}",ok,Concert,http://www.songkick.com/concerts/33531054-simon-james-at-st-louises-comprehensive-school?utm_source=48067&utm_medium=partner,"{'displayName': ""St Louise's Comprehensive School"", 'lat': None, 'lng': None, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=48067&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/3865559-st-louises-comprehensive-school?utm_source=48067&utm_medium=partner', 'id': 3865559}"
0,,"aston merrygold at Empire Music Hall (April 18, 2018)",,32157844,"{'city': 'Belfast, UK', 'lat': 54.5882682, 'lng': -5.9329484}","[{'displayName': 'aston merrygold', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'aston merrygold', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:5496818a-6498-42e6-83df-a56287ff6236.json', 'mbid': '5496818a-6498-42e6-83df-a56287ff6236'}], 'uri': 'http://www.songkick.com/artists/7486404-aston-merrygold?utm_source=47927&utm_medium=partner', 'id': 7486404}, 'id': 61972159}]",0.002053,,"{'datetime': '2018-04-18T20:30:00+0100', 'time': '20:30:00', 'date': '2018-04-18'}",ok,Concert,http://www.songkick.com/concerts/32157844-aston-merrygold-at-empire-music-hall?utm_source=47927&utm_medium=partner,"{'displayName': 'Empire Music Hall', 'lat': 54.5882682, 'lng': -5.9329484, 'metroArea': {'displayName': 'Belfast', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24523-uk-belfast?utm_source=47927&utm_medium=partner', 'id': 24523}, 'uri': 'http://www.songkick.com/venues/7785-empire-music-hall?utm_source=47927&utm_medium=partner', 'id': 7785}"
