;_id;date;datetime;name;popularity;time;type;url;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
3;5af9c6e50cc9ab0004e227d8;14/5/2018 0:00;14/5/2018 18:00;Elephant Sessions at Thousand Island (formerly Upstairs at The Garage) (May 14, 2018);0.000127;19:00:00;Concert;http://www.songkick.com/concerts/32044684-elephant-sessions-at-thousand-island?utm_source=48622&utm_medium=partner;Monday;51.5466983;-0.1038429;33;1933;0.5065;0.68;[5];-7.5835;[1];0.039;0.249;0.33;0.108;0.625;281961.8;[4]
42;5af9c75b0cc9ab0004e22839;15/5/2018 0:00;15/5/2018 18:00;Japanese Breakfast with Fear of Men at Islington Assembly Hall (May 15, 2018);0.008464;19:00:00;Concert;http://www.songkick.com/concerts/32243119-japanese-breakfast-at-islington-assembly-hall?utm_source=47927&utm_medium=partner;Tuesday;51.5395158;-0.1024666;45;87445;0.455;0.5825;[4];-8.1085;[1];0.03455;0.211;0.167;0.115;0.2665;213084.45;[4]
60;5af9c78a0cc9ab0004e22863;15/5/2018 0:00;15/5/2018 18:30;Hollow Coves at Omeara (May 15, 2018);0.002564;19:30:00;Concert;http://www.songkick.com/concerts/33012749-hollow-coves-at-omeara?utm_source=47927&utm_medium=partner;Tuesday;51.5041429;-0.094603;62;37428;0.6125;0.505;[9];-11.14;[1];0.0308;0.562;0.004405;0.10255;0.3335;225267.3;[4]
107;5af9d799985cfc00044f818f;16/5/2018 0:00;16/5/2018 18:30;U.S. Girls at Scala (May 16, 2018);0.004038;19:30:00;Concert;http://www.songkick.com/concerts/32429709-us-girls-at-scala?utm_source=48622&utm_medium=partner;Wednesday;51.5309284;-0.1202729;50;24299;0.537;0.804;[9];-5.8325;[1];0.0447;0.08935;0.03534;0.257;0.4545;250805.1;[4]
113;5af9d7b0985cfc00044f81a0;16/5/2018 0:00;16/5/2018 18:00;Bullet, Screamer, and KilliT with Jesus Chrüsler Supercar at O2 Academy 2 Islington (May 16, 2018);0.001436;19:00:00;Concert;http://www.songkick.com/concerts/32796599-bullet-at-o2-academy-2-islington?utm_source=48622&utm_medium=partner;Wednesday;51.5345836;-0.1059202;8;340706;0.395;0.841;[6];-5.8525;[1];0.04585;0.0011235;0.004815;0.1285;0.4255;252858.425;[4]
124;5af9d7d4985cfc00044f81be;16/5/2018 0:00;16/5/2018 18:00;Sam Fender at Boileroom (May 16, 2018);0.000525;19:00:00;Concert;http://www.songkick.com/concerts/33149984-sam-fender-at-boileroom?utm_source=48622&utm_medium=partner;Wednesday;51.2397042;-0.5738364;42;8650;0.598;0.733;[6];-6.129;[1];0.0458;0.0101;0.0288;0.121;0.614;176134.8;[4]
126;5af9d7d9985cfc00044f81c3;16/5/2018 0:00;16/5/2018 18:30;Rothwell with Emma McGrath at Thousand Island (formerly Upstairs at The Garage) (May 16, 2018);0.000272;19:30:00;Concert;http://www.songkick.com/concerts/33188974-rothwell-at-thousand-island?utm_source=48622&utm_medium=partner;Wednesday;51.5466983;-0.1038429;40.5;1786;0.626;0.484;[0];-7.636;[1];0.04245;0.4735;0;0.102;0.414;201275.6875;[4]
334;5afabbfbdcab560004a0b141;18/5/2018 0:00;;Japanese Breakfast at The Windmill, Brixton (May 18, 2018);0.008957;;Concert;http://www.songkick.com/concerts/33880499-japanese-breakfast-at-windmill-brixton?utm_source=48622&utm_medium=partner;Friday;51.454073;-0.1223363;58;77743;0.501;0.654;[4];-7.472;[1];0.03025;0.0582;0.1495;0.132;0.2665;222761;[4]
537;5afabec5dcab560004a0b36f;22/5/2018 0:00;22/5/2018 18:30;Wild Child at Oslo Hackney (May 22, 2018);0.016706;19:30:00;Concert;http://www.songkick.com/concerts/32795594-wild-child-at-oslo-hackney?utm_source=47927&utm_medium=partner;Tuesday;51.5479818;-0.0575201;60;84787;0.71;0.504;[2];-8.621;[1];0.0397;0.443;0.0001855;0.1205;0.5075;226711;[4]
541;5afabed1dcab560004a0b379;22/5/2018 0:00;;The Rolling Stones with Liam Gallagher at London Stadium (May 22, 2018);0.473611;;Concert;http://www.songkick.com/concerts/32988459-rolling-stones-at-london-stadium?utm_source=47927&utm_medium=partner;Tuesday;51.5432665;-0.0124774;71;4741298;0.486;0.774;[0];-5.4235;[1];0.03485;0.05025;0.00011245;0.1195;0.503;252279.5;[4]
