id;_id;id;popularity;time;type;url;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean
0;5af9c6dc0cc9ab0004e227d1;31245569;0.050308;19:00:00;Concert;http://www.songkick.com/concerts/31245569-frank-turner-at-roundhouse?utm_source=48622&utm_medium=partner;Monday;51.5429551;-0.1491962;32;223035;0.562;0.6725;[9];-6.7435;[1];0.0408;0.1299;5.05E-07;0.121;0.5545;215185.4
1;5af9c6de0cc9ab0004e227d3;31640764;5.00E-06;;Concert;http://www.songkick.com/concerts/31640764-andy-may-trio-at-slaughtered-lamb?utm_source=48622&utm_medium=partner;Monday;51.5233496;-0.1011681;3;56;0.563;0.438;[6];-9.523;[1];0.034;0.324;7.27E-05;0.07255;0.699;223699.3
2;5af9c6e30cc9ab0004e227d6;31785344;0.032852;18:45:00;Concert;http://www.songkick.com/concerts/31785344-olafur-arnalds-at-royal-albert-hall?utm_source=48622&utm_medium=partner;Monday;51.500786;-0.1781517;50.5;279290;0.3685;0.232;[3];-16.8295;[1];0.03685;0.9635;0.8985;0.09895;0.1255;276532.15
3;5af9c6e50cc9ab0004e227d8;32044684;0.000127;19:00:00;Concert;http://www.songkick.com/concerts/32044684-elephant-sessions-at-thousand-island?utm_source=48622&utm_medium=partner;Monday;51.5466983;-0.1038429;33;1933;0.5065;0.68;[5];-7.5835;[1];0.039;0.249;0.33;0.108;0.625;281961.8
4;5af9c6eb0cc9ab0004e227db;32192284;0.000439;19:30:00;Concert;http://www.songkick.com/concerts/32192284-gary-lucas-at-bush-hall?utm_source=48622&utm_medium=partner;Monday;51.5062847;-0.2314873;13;1316;0.4655;0.368;[7];-11.98;[1];0.03435;0.7545;0.00607;0.1225;0.309;279198.95
5;5af9c6ed0cc9ab0004e227dd;32454499;0.005234;19:30:00;Concert;http://www.songkick.com/concerts/32454499-nils-lofgren-at-g-live?utm_source=48622&utm_medium=partner;Monday;51.2486437;-0.5541293;41;23260;0.5285;0.422;[0];-11.222;[0];0.0368;0.718;0.001686;0.6745;0.588;268126.8
6;5af9c6ef0cc9ab0004e227df;32492684;0.011544;19:00:00;Concert;http://www.songkick.com/concerts/32492684-ladysmith-black-mambazo-at-bridge-theatre?utm_source=48622&utm_medium=partner;Monday;51.5033289;-0.0774607;48;35315;0.5495;0.1955;[5];-15.6155;[1];0.07125;0.8335;0;0.132;0.49;193151.6
7;5af9c6f00cc9ab0004e227e1;32649974;2.00E-06;19:00:00;Concert;http://www.songkick.com/concerts/32649974-gemma-khawaja-at-folk-in-the-cellar-the-constitution?utm_source=48622&utm_medium=partner;Monday;51.5403054;-0.1355174;;;;;;;;;;;;;
8;5af9c6f40cc9ab0004e227e4;32754149;0.003748;20:00:00;Concert;http://www.songkick.com/concerts/32754149-english-concert-at-kings-place?utm_source=48622&utm_medium=partner;Monday;51.534649;-0.122138;48.5;7646;0.348;0.128;[1];-23.47;[1];0.0403;0.927;0.26975;0.1045;0.191;332290.85
9;5af9c6f60cc9ab0004e227e6;32839319;0.000635;;Concert;http://www.songkick.com/concerts/32839319-birds-of-chicago-at-lexington?utm_source=48622&utm_medium=partner;Monday;51.5316567;-0.1114451;34;4761;0.625;0.3005;[4];-10.331;[1];0.04015;0.6615;5.18E-05;0.1095;0.4045;233645.4
