id;_id;date;id;name;popularity;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
17;5af9c70c0cc9ab0004e227f9;14/5/2018 0:00;33275189;Oshun at Ghost Notes (May 14, 2018);0.000913;51.4706807;-0.0675578;44;13915;0.5585;0.5195;[1];-8.5345;[1];0.265;0.1835;0;0.163;0.416;225884.3;[4]
70;5af9c7a60cc9ab0004e2287c;15/5/2018 0:00;33230364;Portico Quartet at Rough Trade East (May 15, 2018);0.005092;51.521245;-0.0718398;49;55630;0.41;0.558;[0];-11.834;[0];0.03715;0.4635;0.916;0.1155;0.2155;281101;[4]
76;5af9c7b80cc9ab0004e22889;15/5/2018 0:00;33341989;DeWolff at The Black Heart (May 15, 2018);0.002117;51.5388431;-0.1416193;40;14708;0.3545;0.6145;[0];-9.5595;[1];0.0383;0.00738;0.00188145;0.159;0.3975;285403.3;[4]
103;5af9d78e985cfc00044f8186;16/5/2018 0:00;31749779;Carter Sampson at St Pancras Old Church (May 16, 2018);8.00E-05;51.5334728;-0.1286371;15;685;0.6585;0.4835;[0];-7.0635;[1];0.0275;0.438;0.001485;0.1225;0.2965;256318.7;[4]
112;5af9d7a9985cfc00044f819b;16/5/2018 0:00;32788894;Lisa LeBlanc at Sebright Arms (May 16, 2018);0.00154;51.5320226;-0.0631162;40;14763;0.5435;0.46;[0];-7.1515;[1];0.0408;0.563;2.23E-05;0.1085;0.55;206821.2;[4]
116;5af9d7b8985cfc00044f81a7;16/5/2018 0:00;32867604;Peace with whenyoung at O2 Forum Kentish Town (May 16, 2018);0.022047;51.5521427;-0.1422245;43.5;126507;0.471;0.8;[1];-5.814;[1];0.0491;0.0104;8.59E-06;0.105;0.468;226229.1333;[4]
120;5af9d7c5985cfc00044f81b2;16/5/2018 0:00;32965389;Circuit Des Yeux at Barbican Centre (May 16, 2018);0.000782;51.5198644;-0.0916989;25;5369;0.2535;0.4075;[1];-10.345;[0];0.034;0.788;0.333;0.111;0.06105;267400;[3]
126;5af9d7d9985cfc00044f81c3;16/5/2018 0:00;33188974;Rothwell with Emma McGrath at Thousand Island (formerly Upstairs at The Garage) (May 16, 2018);0.000272;51.5466983;-0.1038429;40.5;1786;0.626;0.484;[0];-7.636;[1];0.04245;0.4735;0;0.102;0.414;201275.6875;[4]
151;5afab9c5dcab560004a0af71;16/5/2018 0:00;33683804;Joel Culpepper with Aaron Taylor and San Scout at Omeara (May 16, 2018);0.001015;51.5041429;-0.094603;40;14393;0.603;0.5445;[0];-7.2645;[1];0.07195;0.281;0.0001825;0.113;0.4985;220996.4;[4]
162;5afab9e0dcab560004a0af8a;16/5/2018 0:00;33929134;Sonny Touch at Nambucca (May 16, 2018);1.10E-05;51.5609729;-0.1236348;0;34;0.674;0.52;[5];-9.052;[0];0.04685;0.4705;0.07955;0.219;0.4025;186789.3;[4]
211;5afaba6ddcab560004a0b001;17/5/2018 0:00;33527184;Acid Dad at The Shacklewell Arms (May 17, 2018);0.000288;51.5517116;-0.0719982;30;3274;0.45;0.775;[7];-5.8965;[1];0.0317;0.010705;0.0637;0.1125;0.528;230032.2;[4]
228;5afabaa0dcab560004a0b02d;17/5/2018 0:00;33765134;Devarrow at The Underworld (May 17, 2018);0.000114;51.538488;-0.142103;41;705;0.6405;0.522;[5];-10.6265;[1];0.039;0.416;0.00421;0.1245;0.31;203763.9;[4]
232;5afabaa9dcab560004a0b036;17/5/2018 0:00;33793609;Maribou State at Corsica Studios (May 17, 2018);0.012751;51.4935647;-0.0987167;59;67272;0.704;0.5625;[2];-8.1465;[0];0.0412;0.4435;0.838;0.177;0.2735;230482.3;[4]
271;5afabb1cdcab560004a0b092;18/5/2018 0:00;32855314;Ashley Henry with Anoushka Lucas at Rich Mix (May 18, 2018);5.90E-05;51.5242313;-0.0738117;25;2080;0.4815;0.4685;[7];-8.8515;[1];0.0402;0.724;4.58E-05;0.1135;0.367;290385.6;[4]
340;5afabc0cdcab560004a0b14e;19/5/2018 0:00;31760544;Trinity Folk Festival 2018;0.000902;51.2346851;-0.5742298;11.5;1352;0.47;0.284;[0];-12.041;[1];0.0368;0.818;7.49E-06;0.118;0.26;242690.24;[4]
392;5afabd0edcab560004a0b20b;19/5/2018 0:00;33466534;iZem at Village Underground (May 19, 2018);0.000386;51.5237877;-0.0780335;26;2122;0.601;0.2755;[2];-15.372;[0];0.0484;0.7185;0.0377;0.0867;0.451;260624.5;[4]
482;5afabe35dcab560004a0b2f7;20/5/2018 0:00;33675769;G Flip, Ecca Vandal, and Alexander Biggs at Hoxton Square Bar & Kitchen (May 20, 2018);0.000696;51.527476;-0.081657;33;11167;0.526;0.605;[1];-8.231;[1];0.0522;0.104;0.00283;0.106;0.296;209306.5263;[4]
497;5afabe59dcab560004a0b316;21/5/2018 0:00;31944389;Susanne Sundfør at Barbican Centre (May 21, 2018);0.014495;51.5198644;-0.0916989;55;131092;0.404;0.3225;[4];-9.002;[0];0.03525;0.48345;0.0019;0.0874;0.164;265606.6;[4]
504;5afabe6bdcab560004a0b325;21/5/2018 0:00;33023279;Poppy Ajudha at Omeara (May 21, 2018);0.000717;51.5041429;-0.094603;52;7625;0.59;0.483;[6];-8.3475;[0];0.0423;0.379;0.00307485;0.1054;0.366;255820.3;[4]
509;5afabe77dcab560004a0b32d;21/5/2018 0:00;33187204;Didirri at Servant Jazz Quarters (May 21, 2018);0.000295;51.5486354;-0.0767334;46;6394;0.465;0.226;[0];-12.281;[1];0.0384;0.576;2.76E-06;0.111;0.24;203362.6;[3]
537;5afabec5dcab560004a0b36f;22/5/2018 0:00;32795594;Wild Child at Oslo Hackney (May 22, 2018);0.016706;51.5479818;-0.0575201;60;84787;0.71;0.504;[2];-8.621;[1];0.0397;0.443;0.0001855;0.1205;0.5075;226711;[4]
546;5afabedddcab560004a0b383;22/5/2018 0:00;33110309;odette. with ARKmusicuk at The Slaughtered Lamb (May 22, 2018);0.000458;51.5233496;-0.1011681;50;10115;0.749;0.683;[1];-6.397;[1];0.19;0.624;7.00E-06;0.187;0.517;230253.4;[4]
565;5afabf1bdcab560004a0b3b1;22/5/2018 0:00;33592399;Skegss at The Shacklewell Arms (May 22, 2018);0.003154;51.5517116;-0.0719982;55;37602;0.5045;0.886;[2];-4.586;[1];0.05115;0.01805;0.0004105;0.1425;0.6095;184769.6;[4]
618;5afaece9f4259d0004b0e4aa;13/4/2018 0:00;32673889;Speak, Brother with John Nicholas and Jules Rendell at Thousand Island (formerly Upstairs at The Garage) (April 13, 2018);8.40E-05;51.5466983;-0.1038429;16;1167;0.4265;0.4545;[1];-9.3335;[1];0.0393;0.1075;0.000237;0.135;0.2465;223865.25;[4]
