id;_id;date;id;name;popularity;time;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
14;5af9c7040cc9ab0004e227f2;14/5/2018 0:00;33042619;Now, Now with So Below and JOAN at The Dome, Tufnell Park (May 14, 2018);0.008894;19:30:00;Concert;Monday;51.5575896;-0.1387684;72;1866051;0.6505;0.5585;[9];-8.083;[0];0.04485;0.264;2.67E-05;0.116;0.409;213547.2667;[4]
82;5af9c7ca0cc9ab0004e22896;15/5/2018 0:00;33450909;Jack and Jack with Loote at Bush Hall (May 15, 2018);0.027924;19:30:00;Concert;Tuesday;51.5062847;-0.2314873;66;670666;0.7425;0.6305;[8];-6.8565;[1];0.0754;0.2635;0;0.14;0.5855;195388.4;[4]
270;5afabb18dcab560004a0b08f;18/5/2018 0:00;32751419;The Undercover Hippy at Thousand Island (formerly Upstairs at The Garage) (May 18, 2018);0.000678;18:30:00;Concert;Friday;51.5466983;-0.1038429;37;7746;0.7905;0.588;[7];-7.2955;[0];0.0706;0.0555;0;0.1065;0.6705;264689.7;[4]
428;5afabd8ddcab560004a0b271;19/5/2018 0:00;33760344;Fabio And Grooverider, Ed Solo, MC GQ, The Ragga Twins, and 4 more… at Dalston Roof Park (May 19, 2018);0.003468;2:30:00;Concert;Saturday;51.5469092;-0.0747739;22.5;22152;0.633;0.785;[2];-6.135;[1];0.0615;0.0277;0.494;0.104;0.474;303721.6863;[4]
456;5afabddbdcab560004a0b2b0;20/5/2018 0:00;32754269;Ezhel at The Jazz Cafe (May 20, 2018);0.000901;19:00:00;Concert;Sunday;51.5387092;-0.1430815;64;138119;0.792;0.59;[6];-8.366;[0];0.2045;0.3355;0.0001535;0.113;0.392;233315.3;[4]
472;5afabe06dcab560004a0b2d5;20/5/2018 0:00;33546774;Jacky Murda with Solo Banton and Macka B at Brixton Jamm (May 20, 2018);0.002895;14:00:00;Concert;Sunday;51.47095;-0.1119528;29;20850;0.704;0.8045;[1];-5.527;[1];0.248;0.111;0;0.1535;0.777;236952.8;[4]
585;5afaec82f4259d0004b0e44f;13/4/2018 0:00;31514219;Jazz Jamaica at The Jazz Cafe (April 13, 2018);0.000434;19:00:00;Concert;Friday;51.5387092;-0.1430815;27;4298;0.699;0.488;[0];-7.785;[1];0.0387;0.263;0.0422;0.218;0.717;300660.1;[4]
629;5afaed23f4259d0004b0e4d7;13/4/2018 0:00;32881704;Redlight, Toddla T, Coco, Steel Banglez, and 14 more… at fabric (April 13, 2018);0.01844;23:00:00;Concert;Friday;51.5195531;-0.1024779;31.5;94467;0.6645;0.7995;[1];-5.9445;[1];0.0648;0.00918;0.1315;0.1205;0.3705;258965.5672;[4]
680;5afaed97f4259d0004b0e551;14/4/2018 0:00;31594514;Addis Pablo at The Jazz Cafe (April 14, 2018);0.000176;19:00:00;Concert;Saturday;51.5387092;-0.1430815;29;1502;0.7545;0.48;[0];-9.198;[0];0.0689;0.0156;0.8305;0.09525;0.6725;245342;[4]
681;5afaed9ef4259d0004b0e556;14/4/2018 0:00;31722494;The Neville Staple Band with Stranger Cole, The Paradimes, and Buster Shuffle at O2 Academy Islington (April 14, 2018);0.001253;19:00:00;Concert;Saturday;51.5345836;-0.1059202;26;5342;0.515;0.683;[0];-6.762;[1];0.0412;0.146;0.000141;0.136;0.883;184758.76;[4]
