id;_id;date;id;name;popularity;time;type;url;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
23;5af9c71d0cc9ab0004e22806;14/5/2018 0:00;33492309;Rita Coolidge at Boisdale of Canary Wharf (May 14, 2018);0.0068;21:15:00;Concert;http://www.songkick.com/concerts/33492309-rita-coolidge-at-boisdale-of-canary-wharf?utm_source=48622&utm_medium=partner;Monday;51.5051802;-0.0216597;41;33886;0.466;0.315;[2];-13.48;[1];0.03265;0.6165;0.00013195;0.13;0.315;246123.3;[4]
84;5af9c7ce0cc9ab0004e22899;15/5/2018 0:00;33492324;Rita Coolidge at Boisdale of Canary Wharf (May 15, 2018);0.0068;21:15:00;Concert;http://www.songkick.com/concerts/33492324-rita-coolidge-at-boisdale-of-canary-wharf?utm_source=47927&utm_medium=partner;Tuesday;51.5051802;-0.0216597;41;33886;0.466;0.315;[2];-13.48;[1];0.03265;0.6165;0.00013195;0.13;0.315;246123.3;[4]
107;5af9d799985cfc00044f818f;16/5/2018 0:00;32429709;U.S. Girls at Scala (May 16, 2018);0.004038;19:30:00;Concert;http://www.songkick.com/concerts/32429709-us-girls-at-scala?utm_source=48622&utm_medium=partner;Wednesday;51.5309284;-0.1202729;50;24299;0.537;0.804;[9];-5.8325;[1];0.0447;0.08935;0.03534;0.257;0.4545;250805.1;[4]
116;5af9d7b8985cfc00044f81a7;16/5/2018 0:00;32867604;Peace with whenyoung at O2 Forum Kentish Town (May 16, 2018);0.022047;19:00:00;Concert;http://www.songkick.com/concerts/32867604-peace-at-o2-forum-kentish-town?utm_source=48622&utm_medium=partner;Wednesday;51.5521427;-0.1422245;43.5;126507;0.471;0.8;[1];-5.814;[1];0.0491;0.0104;8.59E-06;0.105;0.468;226229.1333;[4]
124;5af9d7d4985cfc00044f81be;16/5/2018 0:00;33149984;Sam Fender at Boileroom (May 16, 2018);0.000525;19:00:00;Concert;http://www.songkick.com/concerts/33149984-sam-fender-at-boileroom?utm_source=48622&utm_medium=partner;Wednesday;51.2397042;-0.5738364;42;8650;0.598;0.733;[6];-6.129;[1];0.0458;0.0101;0.0288;0.121;0.614;176134.8;[4]
128;5afab983dcab560004a0af3b;16/5/2018 0:00;33220644;THE VON at Bar 512 (May 16, 2018);0.000395;19:00:00;Concert;http://www.songkick.com/concerts/33220644-von-at-bar-512?utm_source=48622&utm_medium=partner;Wednesday;51.5439981;-0.0758803;40;33221;0.3565;0.958;[2];-3.899;[1];0.08595;0.0011835;0.01111;0.1925;0.4025;167620.1;[4]
138;5afab9a0dcab560004a0af51;16/5/2018 0:00;33492329;Rita Coolidge at Boisdale of Canary Wharf (May 16, 2018);0.0068;21:15:00;Concert;http://www.songkick.com/concerts/33492329-rita-coolidge-at-boisdale-of-canary-wharf?utm_source=48622&utm_medium=partner;Wednesday;51.5051802;-0.0216597;41;33929;0.466;0.315;[2];-13.48;[1];0.03265;0.6165;0.00013195;0.13;0.315;246123.3;[4]
139;5afab9a5dcab560004a0af55;16/5/2018 0:00;33387989;Morag Tong with Elephant Tree and Wychhound at Our Black Heart (May 16, 2018);0.000289;19:00:00;Concert;http://www.songkick.com/concerts/33387989-morag-tong-at-our-black-heart?utm_source=48622&utm_medium=partner;Wednesday;51.5387999;-0.1417646;16;4520;0.297;0.581;[7];-8.385;[1];0.0371;0.00262;0.534;0.14;0.184;339162.2667;[4]
154;5afab9cddcab560004a0af78;16/5/2018 0:00;33761414;Brutalligators and After London at The Monarch (May 16, 2018);8.00E-06;19:00:00;Concert;http://www.songkick.com/concerts/33761414-brutalligators-at-monarch?utm_source=47927&utm_medium=partner;Wednesday;51.5429763;-0.1483958;17;21273;0.494;0.803;[5];-6.001;[1];0.0372;0.000315;0.0108;0.26;0.276;271684.4;[4]
161;5afab9dedcab560004a0af88;16/5/2018 0:00;33916389;Swimming Tapes with The Nectars (NJ) at House of Vans (May 16, 2018);0.001172;19:00:00;Concert;http://www.songkick.com/concerts/33916389-swimming-tapes-at-house-of-vans?utm_source=47927&utm_medium=partner;Wednesday;51.5008523;-0.1136908;47;8185;0.442;0.729;[4];-7.386;[1];0.0291;0.00791;0.0225;0.11;0.733;204516.5556;[4]
180;5afaba17dcab560004a0afb6;17/5/2018 0:00;32576639;BØRNS at KOKO (May 17, 2018);0.066154;19:00:00;Concert;http://www.songkick.com/concerts/32576639-borns-at-koko?utm_source=48622&utm_medium=partner;Thursday;51.534617;-0.138338;70;500779;0.6135;0.6695;[6];-5.993;[1];0.05205;0.0291;0.000397;0.1075;0.475;225264;[4]
191;5afaba39dcab560004a0afd3;17/5/2018 0:00;32959109;Mary Gauthier at Kings Place (May 17, 2018);0.003829;19:00:00;Concert;http://www.songkick.com/concerts/32959109-mary-gauthier-at-kings-place?utm_source=48622&utm_medium=partner;Thursday;51.534649;-0.122138;42;11780;0.5425;0.2805;[9];-9.3485;[1];0.02845;0.516;0.001164;0.1095;0.313;295215.3;[4]
209;5afaba66dcab560004a0affb;17/5/2018 0:00;33492344;Rita Coolidge at Boisdale of Canary Wharf (May 17, 2018);0.0068;21:15:00;Concert;http://www.songkick.com/concerts/33492344-rita-coolidge-at-boisdale-of-canary-wharf?utm_source=48622&utm_medium=partner;Thursday;51.5051802;-0.0216597;41;33932;0.466;0.315;[2];-13.48;[1];0.03265;0.6165;0.00013195;0.13;0.315;246123.3;[4]
241;5afababfdcab560004a0b049;18/5/2018 0:00;31660304;Kronos Quartet and Kronos String Quartet at Barbican Centre (May 18, 2018);0.018471;19:30:00;Concert;http://www.songkick.com/concerts/31660304-kronos-quartet-at-barbican-centre?utm_source=48622&utm_medium=partner;Friday;51.5198644;-0.0916989;54;46161;0.3005;0.2205;[7];-21.1125;[0];0.0409;0.9365;0.889;0.0968;0.07425;422454.5;[4]
255;5afabae4dcab560004a0b068;18/5/2018 0:00;32427524;Chad Valley at The Lexington (May 18, 2018);0.01032;;Concert;http://www.songkick.com/concerts/32427524-chad-valley-at-lexington?utm_source=48622&utm_medium=partner;Friday;51.5316567;-0.1114451;44;21760;0.5735;0.7215;[0];-7.403;[1];0.03495;0.0605;0.07705;0.09415;0.421;241840.2;[4]
