id;date;datetime_source;id;name;popularity;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
14;14/5/2018 0:00;2018-05-14T19:30:00+0100;33042619;Now, Now with So Below and JOAN at The Dome, Tufnell Park (May 14, 2018);0.008894;Concert;Monday;51.5575896;-0.1387684;72;1866051;0.6505;0.5585;[9];-8.083;[0];0.04485;0.264;2.67E-05;0.116;0.409;213547.2667;[4]
50;15/5/2018 0:00;2018-05-15T20:00:00+0100;32675884;Mansionair at Moth Club (May 15, 2018);0.011056;Concert;Tuesday;51.545251;-0.0546504;64;51177;0.5935;0.5925;[5];-8.1215;[0];0.0439;0.347;0.05005;0.118;0.383;257054.5;[4]
56;15/5/2018 0:00;;32823504;Bold Tendencies 2018 2018 (CANCELLED) ;0.000326;Festival;Tuesday;51.5073509;-0.1277583;24;1232;0.469;0.4125;[2];-11.4025;[0];0.03805;0.413;0.022613;0.1109;0.2755;345522;[3]
108;16/5/2018 0:00;2018-05-16T19:00:00+0100;32615604;Durand Jones and the Indications at The Waiting Room (May 16, 2018);0.000466;Concert;Wednesday;51.562052;-0.073771;46;13708;0.5585;0.6595;[7];-7.711;[0];0.0543;0.289;0.2289;0.259;0.604;239859.4;[4]
109;16/5/2018 0:00;2018-05-16T00:00:00+0100;32616709;Durand Jones and the Indications at The Waiting Room (May 16, 2018);0.000466;Concert;Wednesday;51.562052;-0.073771;46;13708;0.5585;0.6595;[7];-7.711;[0];0.0543;0.289;0.2289;0.259;0.604;239859.4;[4]
137;16/5/2018 0:00;2018-05-16T12:45:00+0100;33464674;Durand Jones and the Indications at Rough Trade East (May 16, 2018);0.000732;Concert;Wednesday;51.521245;-0.0718398;46;13743;0.5585;0.6595;[7];-7.711;[0];0.0543;0.289;0.2289;0.259;0.604;239859.4;[4]
163;17/5/2018 0:00;2018-05-17T19:00:00+0100;29917924;SOHN with Goss at Roundhouse (May 17, 2018);0.045172;Concert;Thursday;51.5429551;-0.1491962;44;194496;0.6505;0.4425;[9];-7.3345;[0];0.0474;0.3485;0.01298;0.1185;0.2635;221860.875;[4]
232;17/5/2018 0:00;2018-05-17T21:00:00+0100;33793609;Maribou State at Corsica Studios (May 17, 2018);0.012751;Concert;Thursday;51.4935647;-0.0987167;59;67272;0.704;0.5625;[2];-8.1465;[0];0.0412;0.4435;0.838;0.177;0.2735;230482.3;[4]
302;18/5/2018 0:00;;33558579;Detroit Swindle at Phonox (May 18, 2018);0.004583;Concert;Friday;51.464399;-0.1146492;46;29828;0.823;0.731;[2];-9.5865;[0];0.0918;0.03155;0.1715;0.1985;0.3985;385933.7;[4]
479;20/5/2018 0:00;2018-05-20T11:00:00+0100;33656304;Aussie BBQ 2018;0.014524;Festival;Sunday;51.527476;-0.081657;47.5;102042;0.504;0.6265;[2];-7.1435;[1];0.042;0.3635;9.24E-05;0.121;0.4075;197456.2273;[4]
