osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
31030,Grafton Way,A400,trunk,1,0,20,,529483.81,182278.15,529326.04,182180.78
31039,Tottenham Court Road,A400,primary,1,0,30,,529823.32,181388.94,529791.61,181454.91
31959,Cleveland Street,,tertiary,1,0,30,,529204.44,181865.96,529151.40,181923.75
2190803,Aldwych,A4,primary,1,0,30,,530611.31,180847.34,530693.36,181026.25
2191122,Euston Road,A501,trunk,1,0,30,,528840.05,182209.98,528895.07,182204.32
2198814,,,tertiary,1,0,30,,530060.53,180503.71,530067.62,180517.25
2198816,Savoy Street,,unclassified,1,0,,,530574.73,180777.73,530661.02,180663.78
2199184,Park Crescent,A4201,primary,0,0,30,,528775.32,182183.54,528590.07,182133.17
2199185,Marylebone Road,A501,trunk,1,0,30,,528840.33,182202.63,528805.65,182199.83
2199747,Great Portland Street,B506,secondary,0,0,30,,528877.42,182046.81,528847.94,182119.67
2199749,Portland Place,A4201,primary,1,0,30,,528856.15,181596.69,528806.53,181726.94
2199750,Regent Street,A4201,primary,1,0,30,,529022.31,181232.84,529023.87,181232.84
2199751,Oxford Street,A40,primary,0,0,30,,527926.26,181012.74,528040.90,181035.50
2263970,Trafalgar Square,,pedestrian,0,0,,,529937.35,180481.74,530055.16,180515.82
2263971,Pall Mall East,A4,primary,1,0,30,,529810.45,180442.76,529920.67,180480.11
2263973,St James's Square,,unclassified,1,0,,,529459.62,180365.25,529477.04,180395.35
2263976,Charles II Street,B327,secondary,1,0,30,,529753.64,180466.71,529653.08,180435.45
2263979,St James's Street,A4,primary,1,0,30,,529712.09,180342.99,529692.94,180342.99
2263981,Horse Guards Road,,unclassified,0,0,,,529822.73,180201.91,529948.65,180010.14
2385517,Harley Street,,tertiary,1,0,30,,528494.62,182118.67,528515.63,182112.37
2424941,Russell Street,,unclassified,0,0,30,,530406.91,180941.28,530463.45,180975.84
2425193,Kingsway,A4200,primary,1,0,20,,530516.41,181523.65,530576.18,181398.24
2592180,Red Lion Street,,unclassified,0,0,20,,530785.26,181679.93,530696.50,181848.65
2592181,Eagle Street,,unclassified,0,0,20,,530615.47,181639.30,530753.43,181686.55
2631517,Great James Street,,unclassified,1,0,20,,530772.62,182003.04,530728.62,182003.04
2631518,Great Ormond Street,,unclassified,0,0,20,,530408.75,181947.09,530610.42,182064.54
2631519,Millman Street,,unclassified,0,0,20,,530649.89,182179.50,530702.00,182093.60
2644235,Keppel Street,,unclassified,1,0,20,,529814.84,181866.44,529873.37,181868.72
2644236,Store Street,,tertiary,1,0,20,,529639.03,181699.37,529814.84,181822.71
2644237,Ridgmount Street,,unclassified,0,0,,,529776.01,181823.41,529694.63,181908.66
2644707,Chenies Street,,unclassified,1,0,20,,529560.41,181813.00,529728.00,181933.99
2644765,Montague Place,B506,secondary,1,0,20,,529930.83,181743.92,529866.84,181743.92
2644766,Malet Street,,unclassified,0,0,20,,529873.37,181870.90,529718.01,182080.62
2644850,Brunswick Square,B504,secondary,1,0,20,,530361.52,182228.28,530360.25,182237.27
2661843,Cosmo Place,,footway,0,0,,,530305.53,181903.88,530368.97,181924.81
2793048,Bedford Way,,unclassified,0,0,20,,529905.04,182252.44,529920.84,182238.25
2793132,John's Mews,,unclassified,0,0,20,,530822.87,182022.58,530753.98,182123.87
2837144,Doughty Mews,,unclassified,0,0,20,,530739.35,182219.04,530690.44,182219.04
2876128,Tavistock Place,,tertiary,0,0,20,,529973.18,182312.05,530007.30,182331.70
2876130,Grenville Street,,unclassified,1,0,20,,530368.22,182167.71,530396.38,182128.03
2876427,Great Russell Street,,tertiary,1,0,20,,529791.61,181458.43,529882.97,181492.85
2876428,New Oxford Street,A40,primary,1,0,20,,529926.85,181409.73,530064.00,181445.19
2876489,Russell Square,A4200,primary,0,0,20,,530123.51,182029.11,530242.46,181958.28
2876551,Bedford Square,B506,secondary,1,0,20,,529923.03,181627.07,529758.38,181668.82
2876710,Guilford Street,B502,secondary,1,0,20,,530483.59,182135.13,530183.72,182029.11
2876749,Lamb's Conduit Street,,unclassified,1,0,20,,530634.80,182032.63,530610.42,182064.54
2876891,Southampton Row,A4200,primary,0,0,20,,530242.46,181880.90,530431.89,181718.34
2876892,Montague Street,,tertiary,0,0,20,,530086.13,181773.46,530228.89,181675.30
2876904,Woburn Place,A4200,primary,0,0,20,,529973.18,182304.18,530123.51,182103.23
2876973,Bloomsbury Square,,unclassified,1,0,20,,530264.25,181677.82,530311.72,181639.59
2898470,Cumberland Gate,A40,trunk,1,0,30,,527903.95,180934.12,527879.40,180914.60
2898488,Park Lane,A40,trunk,1,0,30,,527892.18,180959.73,527903.95,180959.73
2898501,Park Lane,A4202,trunk,1,0,30,,528399.03,179971.71,528344.11,179998.30
2915985,Queen Square,,unclassified,0,0,20,,530418.97,181900.68,530382.78,181900.68
3076827,Brownlow Mews,,unclassified,0,0,20,,530869.88,182260.54,530789.33,182260.54
3087346,Millman Place,,footway,0,0,,,530754.94,182037.01,530725.02,182035.22
3087448,Lansdowne Terrace,B502,secondary,0,0,20,,530454.02,182164.77,530483.59,182164.77
3087449,Thornhaugh Street,,unclassified,0,0,,,529983.23,181998.13,529942.63,182037.40
3087832,Byng Place,,tertiary,0,0,20,,529712.23,182094.00,529725.85,182099.73
3088166,Bloomsbury Place,,tertiary,0,0,20,,530331.79,181784.96,530382.97,181784.96
3088286,Cockpit Yard,,unclassified,0,0,20,,530766.58,181988.69,530792.52,181947.94
3088642,Doughty Street,,unclassified,0,0,20,,530687.35,182273.30,530805.34,182124.08
3097584,Coram Street,,unclassified,0,0,20,,530185.75,182247.76,530041.59,182212.41
3097607,Herbrand Street,,unclassified,0,0,20,,530227.99,182074.65,530118.42,182247.76
3097621,Marchmont Street,,unclassified,1,0,20,,530158.98,182275.07,530188.72,182267.36
3100052,,,footway,0,0,,,530419.11,182351.27,530423.27,182351.27
