,ageRestriction,displayName,end,id,location,performance,popularity,series,start,status,type,uri,venue
0,,"Alex Ferreira at El Universal Espacio Cultural (April 13, 2018)",,32445494,"{'city': 'Buenos Aires, Argentina', 'lat': -34.6036844, 'lng': -58.3815591}","[{'billing': 'headline', 'displayName': 'Alex Ferreira', 'artist': {'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:bdc48245-c1a6-49b7-aa1f-90271f118e81.json', 'mbid': 'bdc48245-c1a6-49b7-aa1f-90271f118e81'}], 'displayName': 'Alex Ferreira', 'uri': 'http://www.songkick.com/artists/671377-alex-ferreira?utm_source=48067&utm_medium=partner', 'id': 671377}, 'billingIndex': 1, 'id': 62475179}]",0.001043,,"{'datetime': '2018-04-13T20:30:00-0300', 'time': '20:30:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32445494-alex-ferreira-at-el-universal-espacio-cultural?utm_source=48067&utm_medium=partner,"{'displayName': 'El Universal Espacio Cultural', 'lat': -34.6036844, 'lng': -58.3815591, 'uri': 'http://www.songkick.com/venues/2515164-el-universal-espacio-cultural?utm_source=48067&utm_medium=partner', 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'id': 2515164}"
1,,"Los Caligaris at La Trastienda Club (April 13, 2018)",,32539354,"{'city': 'Buenos Aires, Argentina', 'lat': -34.5875, 'lng': -58.6725}","[{'billing': 'headline', 'displayName': 'Los Caligaris', 'artist': {'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:34e43e84-c3ed-4d2a-a7af-d84b269b3a54.json', 'mbid': '34e43e84-c3ed-4d2a-a7af-d84b269b3a54'}], 'displayName': 'Los Caligaris', 'uri': 'http://www.songkick.com/artists/20860-los-caligaris?utm_source=48067&utm_medium=partner', 'id': 20860}, 'billingIndex': 1, 'id': 62640944}]",0.001506,,"{'datetime': None, 'time': None, 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32539354-los-caligaris-at-la-trastienda-club?utm_source=48067&utm_medium=partner,"{'displayName': 'La Trastienda Club', 'lat': None, 'lng': None, 'uri': 'http://www.songkick.com/venues/90063-la-trastienda-club?utm_source=48067&utm_medium=partner', 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'id': 90063}"
2,,"galindez, Primattes, and Fraccion 32 at Liverpool Bar (April 13, 2018)",,32683794,"{'city': 'Buenos Aires, Argentina', 'lat': -34.583991, 'lng': -58.4440818}","[{'displayName': 'galindez', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'galindez', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8047018-galindez?utm_source=48067&utm_medium=partner', 'id': 8047018}, 'id': 62908664}, {'displayName': 'Primattes', 'billingIndex': 2, 'billing': 'headline', 'artist': {'displayName': 'Primattes', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8723629-primattes?utm_source=48067&utm_medium=partner', 'id': 8723629}, 'id': 62908669}, {'displayName': 'Fraccion 32', 'billingIndex': 3, 'billing': 'headline', 'artist': {'displayName': 'Fraccion 32', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9386399-fraccion-32?utm_source=48067&utm_medium=partner', 'id': 9386399}, 'id': 62908674}]",7e-06,,"{'datetime': '2018-04-13T21:00:00-0300', 'time': '21:00:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32683794-galindez-at-liverpool-bar?utm_source=48067&utm_medium=partner,"{'displayName': 'Liverpool Bar', 'lat': -34.583991, 'lng': -58.4440818, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/1895283-liverpool-bar?utm_source=48067&utm_medium=partner', 'id': 1895283}"
3,,"Samuel Levi y Los Niños Perdidos at AntiDomingo (April 13, 2018)",,32960114,"{'city': 'Buenos Aires, Argentina', 'lat': -34.5429368, 'lng': -58.4826211}","[{'displayName': 'Samuel Levi y Los Niños Perdidos', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Samuel Levi y Los Niños Perdidos', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9115299-samuel-levi-y-los-ninos-perdidos?utm_source=48067&utm_medium=partner', 'id': 9115299}, 'id': 63409769}]",1e-06,,"{'datetime': '2018-04-13T21:30:00-0300', 'time': '21:30:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32960114-samuel-levi-y-los-ninos-perdidos-at-antidomingo?utm_source=48067&utm_medium=partner,"{'displayName': 'AntiDomingo', 'lat': -34.5429368, 'lng': -58.4826211, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/3030124-antidomingo?utm_source=48067&utm_medium=partner', 'id': 3030124}"
4,,"Nicolás Mateo, El asesino del romance, and Franco Dolzani at El Quetzal (April 13, 2018)",,32968119,"{'city': 'Buenos Aires, Argentina', 'lat': -34.5877773, 'lng': -58.4229144}","[{'displayName': 'Nicolás Mateo', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Nicolás Mateo', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8841744-nicolas-mateo?utm_source=48067&utm_medium=partner', 'id': 8841744}, 'id': 63425464}, {'displayName': 'El asesino del romance', 'billingIndex': 2, 'billing': 'headline', 'artist': {'displayName': 'El asesino del romance', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9198199-el-asesino-del-romance?utm_source=48067&utm_medium=partner', 'id': 9198199}, 'id': 63425469}, {'displayName': 'Franco Dolzani', 'billingIndex': 3, 'billing': 'headline', 'artist': {'displayName': 'Franco Dolzani', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9421779-franco-dolzani?utm_source=48067&utm_medium=partner', 'id': 9421779}, 'id': 63479309}]",2e-06,,"{'datetime': '2018-04-13T23:30:00-0300', 'time': '23:30:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32968119-nicolas-mateo-at-el-quetzal?utm_source=48067&utm_medium=partner,"{'displayName': 'El Quetzal', 'lat': -34.5877773, 'lng': -58.4229144, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/1941589-el-quetzal?utm_source=48067&utm_medium=partner', 'id': 1941589}"
5,Mayores de 18 años,"los tabaleros at La Trastienda Club (April 13, 2018)",,32991554,"{'city': 'Buenos Aires, Argentina', 'lat': -34.5875, 'lng': -58.6725}","[{'displayName': 'los tabaleros', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'los tabaleros', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8901944-los-tabaleros?utm_source=48067&utm_medium=partner', 'id': 8901944}, 'id': 63468094}]",2.6e-05,,"{'datetime': '2018-04-13T23:30:00-0300', 'time': '23:30:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/32991554-los-tabaleros-at-la-trastienda-club?utm_source=48067&utm_medium=partner,"{'displayName': 'La Trastienda Club', 'lat': None, 'lng': None, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/90063-la-trastienda-club?utm_source=48067&utm_medium=partner', 'id': 90063}"
6,,"Bandera de Niebla with Funerales and Tomografia Bonaerense at GBA club, Villa Adelina (April 13, 2018)",,33086659,"{'city': 'Buenos Aires, Argentina', 'lat': -34.51702, 'lng': -58.5351377}","[{'displayName': 'Bandera de Niebla', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Bandera de Niebla', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8259008-bandera-de-niebla?utm_source=48067&utm_medium=partner', 'id': 8259008}, 'id': 63642894}, {'displayName': 'Funerales', 'billingIndex': 2, 'billing': 'support', 'artist': {'displayName': 'Funerales', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8310073-funerales?utm_source=48067&utm_medium=partner', 'id': 8310073}, 'id': 63642899}, {'displayName': 'Tomografia Bonaerense', 'billingIndex': 3, 'billing': 'support', 'artist': {'displayName': 'Tomografia Bonaerense', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9430644-tomografia-bonaerense?utm_source=48067&utm_medium=partner', 'id': 9430644}, 'id': 63642904}]",1.3e-05,,"{'datetime': '2018-04-13T21:00:00-0300', 'time': '21:00:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33086659-bandera-de-niebla-at-gba-club-villa-adelina?utm_source=48067&utm_medium=partner,"{'displayName': 'GBA club, Villa Adelina', 'lat': -34.51702, 'lng': -58.5351377, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/2744118-gba-club-villa-adelina?utm_source=48067&utm_medium=partner', 'id': 2744118}"
7,,"Dalmiro y los de Nieve at Sala Crash (April 13, 2018)",,33097614,"{'city': 'Buenos Aires, Argentina', 'lat': -34.589781, 'lng': -58.4355667}","[{'displayName': 'Dalmiro y los de Nieve', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Dalmiro y los de Nieve', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9431679-dalmiro-y-los-de-nieve?utm_source=48067&utm_medium=partner', 'id': 9431679}, 'id': 63664114}]",0.0,,"{'datetime': '2018-04-13T23:30:00-0300', 'time': '23:30:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33097614-dalmiro-y-los-de-nieve-at-sala-crash?utm_source=48067&utm_medium=partner,"{'displayName': 'Sala Crash', 'lat': -34.589781, 'lng': -58.4355667, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/3507334-sala-crash?utm_source=48067&utm_medium=partner', 'id': 3507334}"
8,,"La cara de los últimos with Charlie Desidney at El Podestá (April 13, 2018)",,33125124,"{'city': 'Buenos Aires, Argentina', 'lat': -34.5891082, 'lng': -58.4268084}","[{'displayName': 'La cara de los últimos', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'La cara de los últimos', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8602374-la-cara-de-los-ultimos?utm_source=48067&utm_medium=partner', 'id': 8602374}, 'id': 63713594}, {'displayName': 'Charlie Desidney', 'billingIndex': 2, 'billing': 'support', 'artist': {'displayName': 'Charlie Desidney', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9434244-charlie-desidney?utm_source=48067&utm_medium=partner', 'id': 9434244}, 'id': 63713599}]",3e-06,,"{'datetime': None, 'time': None, 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33125124-la-cara-de-los-ultimos-at-el-podesta?utm_source=48067&utm_medium=partner,"{'displayName': 'El Podestá', 'lat': -34.5891082, 'lng': -58.4268084, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/903456-el-podesta?utm_source=48067&utm_medium=partner', 'id': 903456}"
9,,"Mezclas Raras at Centro Cultural La Panadería (April 13, 2018)",,33152724,"{'city': 'Morón, Argentina', 'lat': -34.6529447, 'lng': -58.6173985}","[{'displayName': 'Mezclas Raras', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Mezclas Raras', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9437324-mezclas-raras?utm_source=48067&utm_medium=partner', 'id': 9437324}, 'id': 63763989}]",0.0,,"{'datetime': '2018-04-13T21:00:00-0300', 'time': '21:00:00', 'date': '2018-04-13'}",ok,Concert,http://www.songkick.com/concerts/33152724-mezclas-raras-at-centro-cultural-la-panaderia?utm_source=48067&utm_medium=partner,"{'displayName': 'Centro Cultural La Panadería', 'lat': -34.6529447, 'lng': -58.6173985, 'metroArea': {'displayName': 'Buenos Aires', 'country': {'displayName': 'Argentina'}, 'uri': 'http://www.songkick.com/metro_areas/32911-argentina-buenos-aires?utm_source=48067&utm_medium=partner', 'id': 32911}, 'uri': 'http://www.songkick.com/venues/1262871-centro-cultural-la-panaderia?utm_source=48067&utm_medium=partner', 'id': 1262871}"
